"year","locationabbr","locationdesc","datasource","topictype","topicdesc","measuredesc","variable","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","geolocation","topic_type_id","topic_id","measure_id","submeasureid","displayorder"
"2005","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","794.3",,,"
, SC 
(33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE003","03"
"2008","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","256.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, MI 
(44.661319543001, -84.71439027)","HLT","501HLT","520SAE","SAE006","06"
"2007","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","179.8",,,"
, KS 
(38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE004","04"
"2009","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","157.6","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, TN 
(35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE006","06"
"2009","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","233",,,"
, IA 
(42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE004","04"
"2006","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","188",,,"
, TN 
(35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE005","05"
"2009","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","315.5",,,"
, NC 
(35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE005","05"
"2005","HI","Hawaii","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","20.9","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, HI 
(21.304850435, -157.857749403)","HLT","501HLT","520SAE","SAE006","06"
"2006","DE","Delaware","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","227.7",,,"
, DE 
(39.008830667, -75.577741168)","HLT","501HLT","520SAE","SAE003","03"
"2009","MS","Mississippi","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","695",,,"
, MS 
(32.745510099, -89.538030825)","HLT","501HLT","520SAE","SAE003","03"
"2007","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","236.1",,,"
, LA 
(31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE002","02"
"2008","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","230.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, NJ 
(40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE006","06"
"2007","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","724.7","†","Excludes dental expenditures","
, ME 
(45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE001","01"
"2006","WV","West Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","68.4",,,"
, WV 
(38.665510202, -80.712640135)","HLT","501HLT","520SAE","SAE005","05"
"2009","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1300.8",,,"
, MN 
(46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE003","03"
"2009","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","77.9",,,"
, RI 
(41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE002","02"
"2008","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","3040.5","†","Excludes dental expenditures","
, GA 
(32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE001","01"
"2005","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","1480",,,"
, FL 
(28.932040377, -81.928960539)","HLT","501HLT","520SAE","SAE004","04"
"2005","NH","New Hampshire","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","289.2",,,"
, NH 
(43.655950113, -71.50036092)","HLT","501HLT","520SAE","SAE003","03"
"2007","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","219",,,"
, IA 
(42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE004","04"
"2008","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","355.6",,,"
, SC 
(33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE004","04"
"2007","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1191.7",,,"
, MN 
(46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE003","03"
"2006","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1029.5",,,"
, AZ 
(34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE003","03"
"2008","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","129",,,"
, SC 
(33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE005","05"
"2008","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","573.4",,,"
, MA 
(42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE004","04"
"2009","MI","Michigan","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","581.8",,,"
, MI 
(44.661319543001, -84.71439027)","HLT","501HLT","520SAE","SAE002","02"
"2008","IN","Indiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2800.9","†","Excludes dental expenditures","
, IN 
(39.766910452, -86.149960194)","HLT","501HLT","520SAE","SAE001","01"
"2005","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","370.5",,,"
, AL 
(32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE004","04"
"2007","AK","Alaska","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","23.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, AK 
(64.845079957001, -147.722059036)","HLT","501HLT","520SAE","SAE006","06"
"2008","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","424.2",,,"
, WI 
(44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE004","04"
"2007","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","163.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, GA 
(32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE006","06"
"2008","WA","Washington","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2638.2","†","Excludes dental expenditures","
, WA 
(47.522278629, -120.47001079)","HLT","501HLT","520SAE","SAE001","01"
"2009","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1891.5","†","Excludes dental expenditures","
, CO 
(38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE001","01"
"2009","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","277.5",,,"
, ID 
(43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE003","03"
"2008","RI","Rhode Island","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","75.9",,,"
, RI 
(41.708280193, -71.522470314)","HLT","501HLT","520SAE","SAE002","02"
"2006","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","2583.4",,,"
, IL 
(40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE003","03"
"2007","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","368.5",,,"
, MD 
(39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE002","02"
"2008","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2406.5","†","Excludes dental expenditures","
, MN 
(46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE001","01"
"2009","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","167","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, GA 
(32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE006","06"
"2007","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","2229.4",,,"
, CA 
(37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE004","04"
"2007","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","1211.7",,,"
, NY 
(42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE002","02"
"2006","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2319.3","†","Excludes dental expenditures","
, MD 
(39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE001","01"
"2005","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","338.8",,,"
, MA 
(42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE005","05"
"2007","TX","Texas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","444.6",,,"
, TX 
(31.827240407, -99.426770206)","HLT","501HLT","520SAE","SAE005","05"
"2009","CA","California","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","2546.6",,,"
, CA 
(37.638640123, -120.999999538)","HLT","501HLT","520SAE","SAE002","02"
"2008","TN","Tennessee","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","580.2",,,"
, TN 
(35.68094058, -85.774490914)","HLT","501HLT","520SAE","SAE004","04"
"2008","ND","North Dakota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","168.7",,,"
, ND 
(47.475319779, -100.118421049)","HLT","501HLT","520SAE","SAE003","03"
"2006","NJ","New Jersey","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1691.4",,,"
, NJ 
(40.130570048, -74.273691288)","HLT","501HLT","520SAE","SAE003","03"
"2008","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","505.7",,,"
, MD 
(39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE004","04"
"2006","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","3299.6","†","Excludes dental expenditures","
, NC 
(35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE001","01"
"2008","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","587.7",,,"
, AR 
(34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE003","03"
"2005","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2485","†","Excludes dental expenditures","
, VA 
(37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE001","01"
"2009","OK","Oklahoma","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","309.7",,,"
, OK 
(35.472031356, -97.521070214)","HLT","501HLT","520SAE","SAE004","04"
"2005","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","839.2",,,"
, NY 
(42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE005","05"
"2007","FL","Florida","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","1657.8",,,"
, FL 
(28.932040377, -81.928960539)","HLT","501HLT","520SAE","SAE004","04"
"2008","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","216.4",,,"
, WI 
(44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE005","05"
"2005","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","348.8",,,"
, NM 
(34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE003","03"
"2007","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","95.1",,,"
, AR 
(34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE005","05"
"2007","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","697.8",,,"
, OR 
(44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE003","03"
"2005","WV","West Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","106.3",,,"
, WV 
(38.665510202, -80.712640135)","HLT","501HLT","520SAE","SAE002","02"
"2007","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","165.4",,,"
, KS 
(38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE002","02"
"2005","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","113.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, VA 
(37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE006","06"
"2009","MO","Missouri","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","1785.1",,,"
, MO 
(38.635790776, -92.566300053)","HLT","501HLT","520SAE","SAE003","03"
"2006","AR","Arkansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","52.6","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, AR 
(34.748650124, -92.274490743)","HLT","501HLT","520SAE","SAE006","06"
"2006","NM","New Mexico","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","670","†","Excludes dental expenditures","
, NM 
(34.520880952, -106.240580985)","HLT","501HLT","520SAE","SAE001","01"
"2009","GA","Georgia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","684",,,"
, GA 
(32.839681093, -83.627580346)","HLT","501HLT","520SAE","SAE004","04"
"2006","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","9237.4","†","Excludes dental expenditures","
, NY 
(42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE001","01"
"2006","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","35.1",,,"
, NV 
(39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE005","05"
"2008","VA","Virginia","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","448.4",,,"
, VA 
(37.542680674, -78.457890463)","HLT","501HLT","520SAE","SAE002","02"
"2009","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1080.3","†","Excludes dental expenditures","
, NV 
(39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE001","01"
"2007","MT","Montana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","27.5",,,"
, MT 
(47.066528972, -109.424420645)","HLT","501HLT","520SAE","SAE005","05"
"2009","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","270.8",,,"
, OR 
(44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE002","02"
"2009","VT","Vermont","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","212.4",,,"
, VT 
(43.625381239, -72.517640791)","HLT","501HLT","520SAE","SAE003","03"
"2009","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","233.2",,,"
, NV 
(39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE004","04"
"2006","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","430.1","†","Excludes dental expenditures","
, ID 
(43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE001","01"
"2009","CO","Colorado","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","121.8","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, CO 
(38.843840757, -106.133610921)","HLT","501HLT","520SAE","SAE006","06"
"2005","ME","Maine","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","343.9",,,"
, ME 
(45.254228894001, -68.985031336)","HLT","501HLT","520SAE","SAE003","03"
"2008","IL","Illinois","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","898.2",,,"
, IL 
(40.485010283, -88.997710178)","HLT","501HLT","520SAE","SAE004","04"
"2008","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","57.4","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, KS 
(38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE006","06"
"2005","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","411.7",,,"
, MD 
(39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE004","04"
"2008","MD","Maryland","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","124.5","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, MD 
(39.290580964, -76.609260111)","HLT","501HLT","520SAE","SAE006","06"
"2005","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","220.2",,,"
, SC 
(33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE002","02"
"2006","KS","Kansas","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","54.3","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, KS 
(38.3477403, -98.200781227)","HLT","501HLT","520SAE","SAE006","06"
"2008","LA","Louisiana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","110.7","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, LA 
(31.312660644, -92.445680071)","HLT","501HLT","520SAE","SAE006","06"
"2005","WI","Wisconsin","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","358",,,"
, WI 
(44.393191174, -89.816370742)","HLT","501HLT","520SAE","SAE004","04"
"2007","NE","Nebraska","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","129.6",,,"
, NE 
(41.641040988001, -99.365720623)","HLT","501HLT","520SAE","SAE004","04"
"2006","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","2001.3","†","Excludes dental expenditures","
, AZ 
(34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE001","01"
"2005","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Other","$","Millions of Dollars","150.9","*","Other expenditures include home health care, durable and nondurable medical equipment, and other professional services.","
, MN 
(46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE006","06"
"2005","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","81",,,"
, OR 
(44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE005","05"
"2006","WY","Wyoming","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","212.7","†","Excludes dental expenditures","
, WY 
(43.235541343, -108.109830353)","HLT","501HLT","520SAE","SAE001","01"
"2005","MT","Montana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","46.1",,,"
, MT 
(47.066528972, -109.424420645)","HLT","501HLT","520SAE","SAE002","02"
"2007","AL","Alabama","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","274.1",,,"
, AL 
(32.840571122, -86.631860762)","HLT","501HLT","520SAE","SAE002","02"
"2005","NV","Nevada","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","844.3","†","Excludes dental expenditures","
, NV 
(39.49324039, -117.071840564)","HLT","501HLT","520SAE","SAE001","01"
"2006","ID","Idaho","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","78.1",,,"
, ID 
(43.682630005, -114.363730042)","HLT","501HLT","520SAE","SAE004","04"
"2005","NC","North Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","651.8",,,"
, NC 
(35.466220975, -79.159250463)","HLT","501HLT","520SAE","SAE004","04"
"2008","NY","New York","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","1300.2",,,"
, NY 
(42.827001032, -75.543970427)","HLT","501HLT","520SAE","SAE002","02"
"2009","MN","Minnesota","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","223.9",,,"
, MN 
(46.355648736, -94.794200503)","HLT","501HLT","520SAE","SAE005","05"
"2008","IA","Iowa","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Total","$","Millions of Dollars","1219.5","†","Excludes dental expenditures","
, IA 
(42.469400913, -93.816490556)","HLT","501HLT","520SAE","SAE001","01"
"2005","SC","South Carolina","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","318",,,"
, SC 
(33.998821303, -81.045371207)","HLT","501HLT","520SAE","SAE004","04"
"2008","WY","Wyoming","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Nursing Home","$","Millions of Dollars","14.7",,,"
, WY 
(43.235541343, -108.109830353)","HLT","501HLT","520SAE","SAE005","05"
"2007","MA","Massachusetts","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","558.3",,,"
, MA 
(42.27687047, -72.082690675)","HLT","501HLT","520SAE","SAE004","04"
"2008","OK","Oklahoma","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","293.7",,,"
, OK 
(35.472031356, -97.521070214)","HLT","501HLT","520SAE","SAE004","04"
"2007","MT","Montana","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Hospital","$","Millions of Dollars","232.6",,,"
, MT 
(47.066528972, -109.424420645)","HLT","501HLT","520SAE","SAE003","03"
"2005","OR","Oregon","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Prescription Drugs","$","Millions of Dollars","204.9",,,"
, OR 
(44.567449424, -120.155031326)","HLT","501HLT","520SAE","SAE004","04"
"2009","AZ","Arizona","SAMMEC","Health Consequences and Costs","Smoking-Attributable Expenditures (SAEs)","Type of Expense","Ambulatory","$","Millions of Dollars","397.5",,,"
, AZ 
(34.86597028, -111.763811277)","HLT","501HLT","520SAE","SAE002","02"
